Date,NameTechnology,P1month,TechCategory,UniqueDomains,Websites
04/12/2021,DoubleClick,1.44%,Advertising,4542043,7245543
04/12/2021,Google Adsense,0.77%,Advertising,1795341,3862726
04/12/2021,Facebook Advertiser,1.21%,Advertising,2073051,3048562
04/12/2021,Facebook Custom Audiences,1.19%,Advertising,2065958,3040922
04/12/2021,Ads Txt,2.02%,Advertising,1435863,2879049
04/12/2021,Google AdWords Advertiser,1.16%,Advertising,1138731,1624867
04/12/2021,OpenX,2.21%,Advertising,234515,1456289
04/12/2021,DoubleClick Advertiser,1.10%,Advertising,995516,1434136
04/12/2021,AppNexus,2.44%,Advertising,272498,1342022
04/12/2021,Criteo,1.87%,Advertising,175530,1299082
04/12/2021,Amazon A9,2.44%,Advertising,167710,1159630
04/12/2021,PubMatic,3.07%,Advertising,212304,1068505
04/12/2021,AdYouLike,3.15%,Advertising,115152,1020474
04/12/2021,Rubicon Project,1.27%,Advertising,222102,932480
04/12/2021,Index Exchange,2.08%,Advertising,192479,861733
04/12/2021,RhythmOne,2.07%,Advertising,176703,791053
04/12/2021,SpotX,1.99%,Advertising,173504,776866
04/12/2021,Advertising.com,2.04%,Advertising,174321,751447
04/12/2021,SMART AdServer,3.51%,Advertising,160794,749183
04/12/2021,Adtech,1.54%,Advertising,162545,735681
04/12/2021,Sovrn,3.12%,Advertising,156266,726137
04/12/2021,FreeWheel,1.43%,Advertising,143732,703580
04/12/2021,Criteo Publisher,1.58%,Advertising,115266,704224
04/12/2021,gumgum,2.81%,Advertising,153829,698195
04/12/2021,Lijit,3.42%,Advertising,143995,697737
04/12/2021,Teads,1.52%,Advertising,128333,686596
04/12/2021,Amazon Publisher Services,3.00%,Advertising,145825,654654
04/12/2021,LKQD,1.16%,Advertising,115210,611340
04/12/2021,AdCloud,2.51%,Advertising,125516,589951
04/12/2021,Sonobi Media,3.16%,Advertising,125285,584345
04/12/2021,Beachfront,2.66%,Advertising,99529,565590
04/12/2021,Criteo Publisher Marketplace,1.65%,Advertising,31773,523977
04/12/2021,Conversant Media,3.59%,Advertising,112168,521566
04/12/2021,SkimLinks,1.25%,Advertising,25708,515677
04/12/2021,Taboola,0.99%,Advertising,94776,483076
04/12/2021,Outbrain,2.00%,Advertising,76652,470705
04/12/2021,Sharethrough,4.80%,Advertising,107887,462315
04/12/2021,Prebid JS,1.44%,Advertising,60354,448360
04/12/2021,Google Remarketing,2.00%,Advertising,298249,417779
04/12/2021,Awin,33.4%,Advertising,270722,410904
04/12/2021,Media.net,4.89%,Advertising,109115,409843
04/12/2021,Yieldmo,5.99%,Advertising,86230,408470
04/12/2021,Bidtellect,2.47%,Advertising,57507,377329
04/12/2021,Google Publisher Tag,2.48%,Advertising,73000,326163
04/12/2021,Baidu Ads,1.70%,Advertising,224412,313558
04/12/2021,Outbrain AdsTxt,6.41%,Advertising,68811,313300
04/12/2021,LinkedIn Advertiser,3.12%,Advertising,190971,299224
04/12/2021,Bing Advertiser,0.92%,Advertising,176050,286033
04/12/2021,Taboola AdsTxt,5.99%,Advertising,60478,270117
04/12/2021,Bing Universal Advertiser,0.61%,Advertising,157774,261449
